pickup_dow,pickup_dow_num,pickup_hour,trip_count,avg_fare,avg_tip,avg_tip_pct
Monday,2,12,22477,21.56630377719448,3.243150331449925,0.17578936243413185
Monday,2,13,23037,21.934872162173985,3.4565099622346565,0.18196851827243943
Monday,2,14,25824,23.007272692069435,3.6303349597273793,0.18100008578784893
Monday,2,15,27503,23.070803185107113,3.5690477402465013,0.17831753600265643
Monday,2,16,24744,22.486370837374707,4.05069148076302,0.21496380124641815
Monday,2,17,27524,20.40444339485539,3.7847387734340776,0.2204060149217036
Monday,2,18,26638,18.640016142353073,3.6568710113371705,0.23192538677875216
Monday,2,19,23036,20.109996961277997,3.8458078659489305,0.22835094689969698
Monday,2,20,23718,19.986182646091635,3.347686145543474,0.19681920575906736
Monday,2,21,24400,20.65984385245906,3.227841393442616,0.18476061868655075
Monday,2,22,21519,21.568571494958004,3.0727004042938826,0.1646823943528651
Monday,2,23,13449,24.881875232359295,3.3757290504870276,0.15416946146747113
Tuesday,3,0,6972,24.888078026391273,3.081452954675845,0.14210348359800112
Tuesday,3,1,3161,23.82410313192026,2.593071812717493,0.1335604349148017
Tuesday,3,2,1617,22.582832405689558,2.326394557823129,0.13092771659163877
Tuesday,3,3,1031,23.6474296799224,2.1012512124151312,0.11514891348585819
Tuesday,3,4,1626,29.060738007380067,2.4401107011070122,0.08811816771170759
Tuesday,3,5,4173,26.90866043613706,2.297531751737359,0.10959818900200152
Tuesday,3,6,9638,23.75739261257517,2.1072618800581036,0.12387771842995784
Tuesday,3,7,20527,21.32354995859115,2.308918497588542,0.14335223189784904
Tuesday,3,8,26175,21.73216236867238,2.5551381088825185,0.15327086890050284
Tuesday,3,9,25573,21.25468032690732,2.8504496930356207,0.16410196921209982
Tuesday,3,10,23819,21.106423863302446,3.158472647886138,0.17589504637391254
Tuesday,3,11,24649,22.088745993752312,3.3159791472270617,0.17504418908723618
Tuesday,3,12,25814,21.801692105059352,3.2022472301851685,0.1718340352632194
Tuesday,3,13,26830,22.55870331718232,3.4443007827059167,0.1762927722711823
Tuesday,3,14,29650,23.06207116357513,3.512215514333892,0.177291305405642
Tuesday,3,15,31548,23.03064853556496,3.4259728033472765,0.1750609352695431
Tuesday,3,16,29366,22.198785329973507,3.991315807396293,0.21358232943694586
Tuesday,3,17,33614,20.401797465341833,3.689988695186518,0.21831696364948147
Tuesday,3,18,35166,18.88838423477217,3.583726326565415,0.2277802739896759
Tuesday,3,19,28886,18.55498580627292,3.5189527798933553,0.2287426693567529
Tuesday,3,20,30573,19.309845942498296,3.128007065057404,0.19691095010251505
Tuesday,3,21,35514,21.02802584896103,2.9631159542715664,0.18062238485659357
Tuesday,3,22,29951,22.33242629628399,2.7829728556642515,0.1632475608871011
Tuesday,3,23,19745,22.390694859458108,2.6717751329450485,0.14871795164457882
Wednesday,4,0,9342,23.161007278955246,2.735701134660675,0.1444007012933382
Wednesday,4,1,4579,22.68236296134528,2.350375627866347,0.12775444737002253
Wednesday,4,2,2343,21.19623132735808,1.6997439180537772,0.11102577184158274
Wednesday,4,3,1613,23.324742715437072,1.8418350898946059,0.10026899152328815
Wednesday,4,4,2183,28.391823179111313,2.394979386165828,0.08457366850632118
Wednesday,4,5,4594,26.72806269046585,2.2803373966042657,0.10422435658577073
Wednesday,4,6,10449,23.629049669824834,2.0562570580916866,0.1237378609366481
Wednesday,4,7,21467,21.89161969534638,2.265025853635813,0.14244135212528108
Wednesday,4,8,27110,22.461096274437505,2.5211239395057197,0.15213462642545772
Wednesday,4,9,26305,21.42802623075466,2.794502185896215,0.1616225149954857
Wednesday,4,10,24662,21.327998134782344,3.1293946151974583,0.1740421138142417
Wednesday,4,11,26034,22.087481370515487,3.3285461319812564,0.17586448941366153
Wednesday,4,12,28083,22.151395506178194,3.3334690025994385,0.17546679186931324
Wednesday,4,13,28356,22.61446113697285,3.453988926505845,0.18081541060822015
Wednesday,4,14,31739,23.329856328176668,3.478771857966533,0.17279366178124494
Wednesday,4,15,33484,22.7369295783061,3.376461294946827,0.1755083580294129
Wednesday,4,16,29605,21.98904712041889,3.9688964701908307,0.21420690200043194
Wednesday,4,17,34181,20.89395599894674,3.8211559053275126,0.22110947321677019
Wednesday,4,18,35701,19.22784964006611,3.5911629926332407,0.22417756480855727
Wednesday,4,19,33235,19.608096584925573,3.493683767112959,0.22386508821349443
Wednesday,4,20,35093,21.636640925540824,2.9824631692930272,0.18303189263861458
Wednesday,4,21,38834,22.98958489983023,2.9246812071895913,0.17846314134167934
Wednesday,4,22,33119,23.129149732781816,2.898647000211361,0.16613782285833217
Wednesday,4,23,21369,22.526441106275545,2.8146890355187426,0.14878200974755781
Thursday,5,0,11371,24.01498812769329,2.959086272095686,0.14434581906472663
Thursday,5,1,6135,24.383675631621827,2.7108932355338213,0.13031096071310128
Thursday,5,2,3413,24.147928508643407,2.5588250805742745,0.13322710437536303
Thursday,5,3,2176,24.613520220588214,2.371622242647059,0.12321961853626258
Thursday,5,4,2462,28.940982940698607,2.6205564581640934,0.09374925343231913
Thursday,5,5,5334,27.742433445819266,2.4658680164979376,0.10340896591861255
Thursday,5,6,11538,23.575590223608973,2.0899323972958923,0.11763628735918402
Thursday,5,7,22138,21.98407534555971,2.2618578914084346,0.14007668398786244
Thursday,5,8,28744,22.482291608683624,2.481131366546056,0.14905756136230375
Thursday,5,9,27270,21.17625375870927,2.744937660432712,0.16213291417075085
Thursday,5,10,25952,21.533406288532756,3.1118642108507966,0.17225327959272668
Thursday,5,11,26850,22.41146108007453,3.2962126629422683,0.17312767311751356
Thursday,5,12,27654,22.32128805959363,3.3578021262746733,0.17689118041359148
Thursday,5,13,28057,23.00756638272089,3.562233310760236,0.17901453197142408
Thursday,5,14,31166,23.453404671757728,3.625628890457554,0.17733017193793393
Thursday,5,15,33969,24.165127616356095,3.5785380788365813,0.17189426642814404
Thursday,5,16,31376,22.973666496685357,4.120296723610393,0.21361175343376465
Thursday,5,17,35462,21.379433478089272,3.866401218205391,0.21863224717169127
Thursday,5,18,37036,19.822859110055138,3.6365673938870122,0.2230774531151685
Thursday,5,19,31630,19.74030951628204,3.66585425229211,0.223341173717755
Thursday,5,20,31739,20.32307571127013,3.2617306783452666,0.19361860184016216
Thursday,5,21,36564,20.99026392079652,3.1523750136746664,0.1850565656215356
Thursday,5,22,35267,22.13380951030719,2.998410979102285,0.16997759570979326
Thursday,5,23,26522,22.035824221401146,2.8664486087022087,0.15755384622569005
Friday,6,0,19383,21.25660527266169,2.645036372078628,0.15227262527024218
Friday,6,1,10880,19.940887867647056,2.346613051470591,0.15402197008182644
Friday,6,2,6419,18.945835799968854,2.0266879576258,0.14391808661369676
Friday,6,3,4112,19.911561284046673,2.06364299610895,0.1322435396400115
Friday,6,4,4515,27.420349944628995,2.4597829457364355,0.10061986857279141
Friday,6,5,7281,29.88014833127319,2.838875154511741,0.10307584437534174
Friday,6,6,12998,24.85055162332667,2.210491614094478,0.11651293901871032
Friday,6,7,23414,22.708473989920588,2.232130349363627,0.13116607793682106
Friday,6,8,28035,21.380522917781395,2.434396647048336,0.1495178733816392
Friday,6,9,27176,20.964608478068865,2.7880847070944936,0.1629866557886755
Friday,6,10,27115,21.31039387792735,3.07117868338558,0.1710282658192427
Friday,6,11,29067,21.678412632882683,3.2112192520727874,0.17418266032926485
Friday,6,12,31857,21.800942649967027,3.1081900367266067,0.16888968079537123
Friday,6,13,32746,22.497380138032185,3.286159225554258,0.17150947953016726
Friday,6,14,38050,23.138403153745124,3.2975024967148343,0.16830247972784002
Friday,6,15,40657,23.389920062965913,3.3343168458075954,0.16875175050747418
Friday,6,16,36030,22.159104912572822,3.8873122398001514,0.20823951665950474
Friday,6,17,39433,20.304489387061576,3.5235505794638784,0.20943678303693455
Friday,6,18,41087,18.844326916056175,3.361074549127442,0.2159553219220839
Friday,6,19,38266,19.094146239481606,3.220670830502257,0.20695866035872057
Friday,6,20,34459,19.52765518442219,2.8688035056153764,0.2502031558298073
Friday,6,21,37261,19.694758863154696,2.9836426826977362,0.18055641162285496
Friday,6,22,39743,20.49100395038137,2.8657962408474655,0.16910553980191276
Friday,6,23,39767,21.086401790429477,2.4619440742324037,0.14313808434353273
Saturday,7,0,34275,20.631499635302884,2.102734062727933,0.13362514629384145
Saturday,7,1,26086,19.276143525262686,1.944509698688951,0.13497145321292603
Saturday,7,2,18873,18.5174132358396,1.789672548084569,0.13166421177317347
Saturday,7,3,13101,19.038628348980975,1.7242263949316847,0.12690787192694458
Saturday,7,4,8400,21.62820357142854,1.7227416666666664,0.1027644443010395
Saturday,7,5,4366,26.984860284012868,2.2908245533669263,0.20505945157868916
Saturday,7,6,6355,25.186505114083385,2.2203430369787562,0.0977745795003369
