PULocationID,PUBorough,PUZone,pickup_count,total_revenue,avg_tip
190,Brooklyn,Prospect Park,370,14020.169999999998,1.491756756756757
201,Queens,Rockaway Park,319,15218.089999999998,0.08015673981191222
16,Queens,Bayside,303,12823.990000000003,0.518019801980198
11,Brooklyn,Bath Beach,301,11297.85,0.22734219269102987
171,Queens,Murray Hill-Queens,284,10369.779999999997,0.06679577464788732
53,Queens,College Point,277,11169.740000000002,1.5189169675090248
183,Bronx,Pelham Bay,273,11412.54,0.07326007326007326
178,Brooklyn,Ocean Parkway South,271,8607.6,0.14350553505535055
98,Queens,Fresh Meadows,249,9632.919999999998,0.1646586345381526
101,Queens,Glen Oaks,249,10725.930000000002,0.21823293172690764
192,Queens,Queensboro Hill,239,8602.530000000002,0.4682008368200836
194,Manhattan,Randalls Island,231,13669.610000000004,5.762337662337662
252,Queens,Whitestone,228,8604.290000000003,0.36850877192982456
153,Manhattan,Marble Hill,221,7707.71,0.07420814479638009
207,Queens,Saint Michaels Cemetery/Woodside,219,9251.490000000002,3.8315981735159816
128,Manhattan,Inwood Hill Park,182,7322.249999999999,0.08016483516483516
64,Queens,Douglaston,163,6555.46,0.5358895705521473
175,Queens,Oakland Gardens,158,6192.14,0.1920886075949367
9,Queens,Auburndale,153,5695.1,0.48169934640522877
240,Bronx,Van Cortlandt Park,151,6109.38,0.23357615894039738
73,Queens,East Flushing,146,5526.81,0.13986301369863016
15,Queens,Bay Terrace/Fort Totten,140,5515.080000000001,0.3050714285714286
46,Bronx,City Island,121,6498.870000000001,0.40900826446280986
1,EWR,Newark Airport,113,13389.699999999999,12.59132743362832
120,Manhattan,Highbridge Park,92,3346.68,1.544891304347826
31,Bronx,Bronx Park,84,3428.3100000000004,1.1776190476190476
6,Staten Island,Arrochar/Fort Wadsworth,76,2479.52,0.47815789473684217
58,Bronx,Country Club,69,2593.38,0.07246376811594203
154,Brooklyn,Marine Park/Floyd Bennett Field,69,3204.54,2.597391304347826
96,Queens,Forest Park/Highland Park,66,3231.97,1.472878787878788
57,Queens,Corona,54,1867.3200000000002,0.3368518518518518
59,Bronx,Crotona Park,52,1890.5300000000002,0.22192307692307692
184,Bronx,Pelham Bay Park,49,2079.06,0.6840816326530613
221,Staten Island,Stapleton,44,2525.66,0.0
8,Queens,Astoria Park,39,2291.52,6.158717948717949
214,Staten Island,South Beach/Dongan Hills,38,1594.54,0.07894736842105263
23,Staten Island,Bloomfield/Emerson Hill,27,1766.77,0.00037037037037037035
27,Queens,Breezy Point/Fort Tilden/Riis Beach,22,1197.4800000000002,0.5136363636363637
30,Queens,Broad Channel,21,779.67,0.38095238095238093
115,Staten Island,Grymes Hill/Clifton,21,855.76,0.0
172,Staten Island,New Dorp/Midland Beach,18,716.53,1.9583333333333333
253,Queens,Willets Point,17,837.1199999999999,1.038235294117647
206,Staten Island,Saint George/New Brighton,16,1057.76,2.186875
111,Brooklyn,Green-Wood Cemetery,15,387.14000000000004,0.20533333333333334
251,Staten Island,Westerleigh,12,544.0500000000001,0.5083333333333333
2,Queens,Jamaica Bay,10,639.1,3.678
118,Staten Island,Heartland Village/Todt Hill,10,480.9699999999999,0.0
156,Staten Island,Mariners Harbor,8,390.36,2.0175
187,Staten Island,Port Richmond,6,303.69,3.3533333333333335
109,Staten Island,Great Kills,5,392.64,0.8
84,Staten Island,Eltingville/Annadale/Prince's Bay,5,365.99,2.918
44,Staten Island,Charleston/Tottenville,4,412.47,15.0
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,4,212.32999999999998,2.3225
176,Staten Island,Oakwood,3,104.03999999999999,0.0
199,Bronx,Rikers Island,3,134.1,4.816666666666666
245,Staten Island,West Brighton,3,96.24,0.0
